image.file,location,plot,exc.trt,gird.trt,row,analyze
4931,A1-A,A1,0,N,A,1
4932,A1-B,A1,0,N,A,1
4933,A1-C,A1,0,N,A,1
4934,A1-D,A1,0,N,A,1
4935,A1X-A,A1,1,N,A,1
4936,A1X-B,A1,1,N,A,1
4937,A1X-C,A1,1,N,A,1
4938,A1X-D,A1,1,N,A,1
4940,A2-A,A2,0,O50,A,1
4941,A2-B,A2,0,O50,A,1
4942,A2-C,A2,0,O50,A,1
4943,A2-D,A2,0,O50,A,1
4944,A2X-A,A2,1,O50,A,1
4945,A2X-B,A2,1,O50,A,1
4946,A2X-C,A2,1,O50,A,1
4947,A2X-D,A2,1,O50,A,1
4921,A3-A,A3,0,C,A,1
4922,A3-B,A3,0,C,A,1
4923,A3-C,A3,0,C,A,1
4924,A3-D,A3,0,C,A,1
4925,A3X-A,A3,1,C,A,1
4926,A3X-B,A3,1,C,A,1
4927,A3X-D,A3,1,C,A,1
4929,A3X-C,A3,1,C,A,1
4911,A4-A,A4,0,O,A,1
4912,A4-B,A4,0,O,A,1
4913,A4-C,A4,0,O,A,1
4919,A4-D,A4,0,O,A,1
4914,A4X-B,A4,1,O,A,1
4915,A4X-A,A4,1,O,A,1
4916,A4X-C,A4,1,O,A,1
4918,A4X-A,A4,1,O,A,1
4965,B1-A,B1,0,O50,B,1
4966,B1-B,B1,0,O50,B,1
4967,B1-C,B1,0,O50,B,1
4968,B1-D,B1,0,O50,B,1
4969,B1X-A,B1,1,O50,B,1
4970,B1X-D,B1,1,O50,B,1
4971,B1X-C,B1,1,O50,B,1
4972,B1X-B,B1,1,O50,B,1
4956,B2-A,B2,0,O,B,1
4957,B2-B,B2,0,O,B,1
4958,B2-C,B2,0,O,B,1
4959,B2-D,B2,0,O,B,1
4960,B2X-A,B2,1,O,B,1
4961,B2X-B,B2,1,O,B,1
4962,B2X-C,B2,1,O,B,1
4963,B2X-D,B2,1,O,B,1
4949,B3-A,B3,0,N,B,1
4950,B3-B,B3,0,N,B,1
4951,B3-D,B3,0,N,B,1
4952,B3X-A,B3,1,N,B,1
4953,B3X-B,B3,1,N,B,1
4954,B3X-D,B3,1,N,B,1
4902,B4-A,B4,0,C,B,1
4903,B4-B,B4,0,C,B,1
4904,B4-C,B4,0,C,B,1
4905,B4-C,B4,0,C,B,1
4906,B4X-A,B4,1,C,B,1
4907,B4X-B,B4,1,C,B,1
4908,B4X-C,B4,1,C,B,1
4909,B4X-D,B4,1,C,B,1
4865,C1-A,C1,0,O,C,1
4866,C1-B,C1,0,O,C,1
4867,C1-C,C1,0,O,C,1
4868,C1-D,C1,0,O,C,1
4869,C1X-A,C1,1,O,C,1
4870,C1X-B,C1,1,O,C,1
4871,C1X-C,C1,1,O,C,1
4872,C1X-D,C1,1,O,C,1
4875,C2-A,C2,0,C,C,1
4876,C2-B,C2,0,C,C,1
4877,C2-C,C2,0,C,C,1
4878,C2-D,C2,0,C,C,1
4879,C2X-A,C2,1,C,C,1
4880,C2X-B,C2,1,C,C,1
4881,C2X-C,C2,1,C,C,1
4882,C2X-D,C2,1,C,C,1
4884,C3-A,C3,0,O50,C,1
4885,C3-B,C3,0,O50,C,1
4886,C3-C,C3,0,O50,C,1
4887,C3-D,C3,0,O50,C,1
4888,C3X-A,C3,1,O50,C,1
4889,C3X-B,C3,1,O50,C,1
4890,C3X-C,C3,1,O50,C,1
4891,C3X-D,C3,1,O50,C,1
4893,C4-A,C4,0,N,C,1
4894,C4-B,C4,0,N,C,1
4895,C4-C,C4,0,N,C,1
4896,C4-D,C4,0,N,C,1
4897,C4X-A,C4,1,N,C,1
4898,C4X-B,C4,1,N,C,1
4899,C4X-C,C4,1,N,C,1
4900,C4X-D,C4,1,N,C,1
4964,CALLMESELFIE,CALLMESELFIE,,,,0
4917,GLASSESSELFIE,GLASSESSELFIE,,,,0
4901,HANDSELFIE,HANDSELFIE,,,,0
4930,LAURENSELFIE,LAURENSELFIE,,,,0
4955,LEFTEYE,LEFTEYE,,,,0
4874,SELFIE1,SELFIE1,,,,0
4892,SELFIE3,SELFIE3,,,,0
4920,SELFIE4,SELFIE4,,,,0
4939,SELFIE5,SELFIE5,,,,0
4948,SIDEHATSELFIE,SIDEHATSELFIE,,,,0
4928,THUMBSUPSELFIE,THUMBSUPSELFIE,,,,0
4973,THUMBSUPSELFIE2,THUMBSUPSELFIE2,,,,0
4883,TOUNGESELFIE,TOUNGESELFIE,,,,0
4910,TOUNGESELFIE2,TOUNGESELFIE2,,,,0