image.file                  ,User Field 2                  ,% Sky Area    ,% Mask Area   ,% Cnpy Open   ,% Site Open   ,LAI 4Ring     ,LAI 5Ring     ,Units         ,Extra         ,Abv Dir       ,Abv Dif       ,Abv Tot       ,Abv Dir Msk   ,Abv Dif Msk   ,Abv Tot Msk   ,Trans Dir     ,Trans Dif     ,Trans Tot     ,% Trans Dir   ,% Trans Dif   ,% Trans Tot   ,Date          ,Time          
4865,bt                            ,99.9,0.1,15.25,15.25,2.62,2.24,Mols m-2 d-1  ,423.17,21.02,21.02,42.05,21.02,21.02,42.04,3.67,5.12,8.79,17.46,24.34,20.9,Oct 14 2021   ,9:13:39 AM
4866,BT                            ,99.85,0.15,23.33,23.33,1.54,1.43,Mols m-2 d-1  ,423.17,21.02,21.02,42.05,21.02,21.02,42.04,10.35,6.63,16.99,49.24,31.57,40.41,Oct 14 2021   ,9:16:46 AM
4867,bt                            ,99.87,0.13,16.36,16.36,2.21,2.07,Mols m-2 d-1  ,423.17,21.02,21.02,42.05,21.02,21.02,42.04,6.51,5.5,12.02,30.98,26.18,28.58,Oct 14 2021   ,9:25:17 AM
4868,bt                            ,99.84,0.16,28.06,28.06,1.38,1.28,Mols m-2 d-1  ,423.17,21.02,21.02,42.05,21.02,21.02,42.04,8.45,7,15.45,40.18,33.31,36.74,Oct 14 2021   ,9:27:03 AM
4869,bt                            ,99.85,0.15,17.27,17.27,2.04,2.01,Mols m-2 d-1  ,423.17,21.02,21.02,42.05,21.02,21.02,42.04,10.19,5.67,15.86,48.46,26.97,37.72,Oct 14 2021   ,9:30:05 AM
4870,bt                            ,99.88,0.12,20.79,20.79,1.59,1.7,Mols m-2 d-1  ,423.17,21.02,21.02,42.05,21.02,21.02,42.04,11.12,6.34,17.46,52.89,30.17,41.53,Oct 14 2021   ,9:31:39 AM
4871,bt                            ,99.81,0.19,18.96,18.96,1.75,1.75,Mols m-2 d-1  ,423.17,21.02,21.02,42.05,21.02,21.02,42.04,9.31,5.8,15.11,44.29,27.58,35.94,Oct 14 2021   ,9:34:10 AM
4872,bt                            ,99.83,0.17,15.98,15.98,2.27,2.21,Mols m-2 d-1  ,423.17,21.02,21.02,42.05,21.02,21.02,42.04,9.21,5.34,14.55,43.81,25.39,34.6,Oct 14 2021   ,9:35:42 AM
4875,bt                            ,99.84,0.16,16.99,16.99,1.72,1.85,Mols m-2 d-1  ,423.17,21.02,21.02,42.05,21.02,21.02,42.04,6.7,4.97,11.67,31.88,23.64,27.76,Oct 14 2021   ,9:37:43 AM
4876,bt                            ,99.83,0.17,15.82,15.82,2.05,2.08,Mols m-2 d-1  ,423.17,21.02,21.02,42.05,21.02,21.02,42.04,8.59,5.21,13.8,40.87,24.78,32.83,Oct 14 2021   ,9:40:20 AM
4877,bt                            ,99.88,0.12,13.86,13.86,2.43,2.79,Mols m-2 d-1  ,423.17,21.02,21.02,42.05,21.02,21.02,42.04,6.84,4.9,11.74,32.52,23.33,27.92,Oct 14 2021   ,9:42:04 AM
4878,bt                            ,99.9,0.1,10.17,10.17,2.45,2.53,Mols m-2 d-1  ,423.17,21.02,21.02,42.05,21.02,21.02,42.04,4.68,3.25,7.94,22.27,15.48,18.88,Oct 14 2021   ,9:43:34 AM
4879,bt                            ,99.88,0.12,13.07,13.07,2.23,2.26,Mols m-2 d-1  ,423.17,21.02,21.02,42.05,21.02,21.02,42.04,5.12,4.24,9.36,24.37,20.15,22.26,Oct 14 2021   ,9:45:26 AM
4880,bt                            ,99.86,0.14,11.96,11.96,2.36,2.38,Mols m-2 d-1  ,423.17,21.02,21.02,42.05,21.02,21.02,42.04,6.8,3.89,10.7,32.37,18.51,25.44,Oct 14 2021   ,9:46:54 AM
4881,bt                            ,99.86,0.14,13.33,13.33,2.13,2.19,Mols m-2 d-1  ,423.17,21.02,21.02,42.05,21.02,21.02,42.04,7.66,4.25,11.91,36.42,20.24,28.33,Oct 14 2021   ,9:48:29 AM
4882,bt                            ,99.9,0.1,12.65,12.65,2.24,2.38,Mols m-2 d-1  ,423.17,21.02,21.02,42.05,21.02,21.02,42.04,6.17,4.13,10.3,29.35,19.65,24.5,Oct 14 2021   ,9:49:40 AM
4884,bt                            ,99.87,0.13,11.88,11.88,2.25,2.46,Mols m-2 d-1  ,423.17,21.02,21.02,42.05,21.02,21.02,42.04,6.55,3.88,10.43,31.13,18.47,24.8,Oct 14 2021   ,9:52:54 AM
4885,bt                            ,99.86,0.14,12.89,12.89,2.31,2.45,Mols m-2 d-1  ,423.17,21.02,21.02,42.05,21.02,21.02,42.04,4.82,4.36,9.19,22.95,20.76,21.85,Oct 14 2021   ,9:54:25 AM
4886,bt                            ,99.89,0.11,12.79,12.79,2.07,2.14,Mols m-2 d-1  ,423.17,21.02,21.02,42.05,21.02,21.02,42.04,5.66,3.78,9.44,26.94,17.98,22.46,Oct 14 2021   ,9:56:19 AM
4887,bt                            ,99.84,0.16,11.48,11.48,2.37,2.41,Mols m-2 d-1  ,423.17,21.02,21.02,42.05,21.02,21.02,42.04,5.22,3.64,8.86,24.85,17.31,21.08,Oct 14 2021   ,10:00:56 AM
4888,bt                            ,99.89,0.11,10.69,10.69,2.82,2.53,Mols m-2 d-1  ,423.17,21.02,21.02,42.05,21.02,21.02,42.04,5.7,3.51,9.21,27.09,16.72,21.91,Oct 14 2021   ,10:02:20 AM
4889,bt                            ,99.85,0.15,9.13,9.13,3.02,2.72,Mols m-2 d-1  ,423.17,21.02,21.02,42.05,21.02,21.02,42.04,6.34,3.02,9.36,30.17,14.36,22.27,Oct 14 2021   ,10:04:28 AM
4890,bt                            ,99.82,0.18,10.96,10.96,2.68,2.66,Mols m-2 d-1  ,423.17,21.02,21.02,42.05,21.02,21.02,42.04,5.18,3.7,8.88,24.62,17.61,21.11,Oct 14 2021   ,10:05:42 AM
4891,bt                            ,99.84,0.16,11.91,11.91,2.47,2.56,Mols m-2 d-1  ,423.17,21.02,21.02,42.05,21.02,21.02,42.04,5.35,3.94,9.29,25.43,18.74,22.09,Oct 14 2021   ,10:07:08 AM
4893,bt                            ,99.85,0.15,14.71,14.71,2.11,2.18,Mols m-2 d-1  ,423.17,21.02,21.02,42.05,21.02,21.02,42.04,5.93,4.86,10.79,28.21,23.14,25.67,Oct 14 2021   ,10:09:50 AM
4894,bt                            ,99.84,0.16,14.75,14.75,2.18,2.32,Mols m-2 d-1  ,423.17,21.02,21.02,42.05,21.02,21.02,42.04,4.81,4.96,9.77,22.87,23.59,23.23,Oct 14 2021   ,10:11:07 AM
4895,bt                            ,99.84,0.16,14.88,14.88,2.24,2.23,Mols m-2 d-1  ,423.17,21.02,21.02,42.05,21.02,21.02,42.04,6.62,4.93,11.55,31.49,23.46,27.47,Oct 14 2021   ,10:15:31 AM
4896,bt                            ,99.84,0.16,13.33,13.33,2.2,2.18,Mols m-2 d-1  ,423.17,21.02,21.02,42.05,21.02,21.02,42.04,7.27,4.01,11.29,34.59,19.1,26.84,Oct 14 2021   ,10:17:27 AM
4897,bt                            ,99.9,0.1,7.39,7.39,3.47,3.09,Mols m-2 d-1  ,423.17,21.02,21.02,42.05,21.02,21.02,42.04,3.63,2.5,6.13,17.28,11.89,14.58,Oct 14 2021   ,10:19:23 AM
4898,bt                            ,99.87,0.13,8.71,8.71,3.05,3.25,Mols m-2 d-1  ,423.17,21.02,21.02,42.05,21.02,21.02,42.04,3.94,3,6.94,18.74,14.28,16.51,Oct 14 2021   ,10:20:44 AM
4899,bt                            ,99.87,0.13,15.41,15.41,2.04,2.44,Mols m-2 d-1  ,423.17,21.02,21.02,42.05,21.02,21.02,42.04,7.8,5.16,12.97,37.11,24.57,30.84,Oct 14 2021   ,10:21:54 AM
4900,bt                            ,99.85,0.15,16.13,16.13,1.85,2.57,Mols m-2 d-1  ,423.17,21.02,21.02,42.05,21.02,21.02,42.04,8.82,5.37,14.19,41.94,25.57,33.75,Oct 14 2021   ,10:23:28 AM
4902,bt                            ,99.9,0.1,11.35,11.35,2.64,2.39,Mols m-2 d-1  ,423.17,21.02,21.02,42.05,21.02,21.02,42.04,3.91,3.68,7.59,18.6,17.52,18.06,Oct 14 2021   ,10:25:34 AM
4903,bt                            ,99.85,0.15,12.32,12.32,2.45,2.15,Mols m-2 d-1  ,423.17,21.02,21.02,42.05,21.02,21.02,42.04,6.14,3.73,9.87,29.22,17.73,23.48,Oct 14 2021   ,10:27:25 AM
4904,bt                            ,99.85,0.15,12.21,12.21,2.53,2.25,Mols m-2 d-1  ,423.17,21.02,21.02,42.05,21.02,21.02,42.04,6.11,3.88,9.98,29.04,18.44,23.74,Oct 14 2021   ,10:29:03 AM
4905,bt                            ,99.87,0.13,13.25,13.25,2.45,2.14,Mols m-2 d-1  ,423.17,21.02,21.02,42.05,21.02,21.02,42.04,5.06,4.22,9.28,24.08,20.06,22.07,Oct 14 2021   ,10:31:14 AM
4906,bt                            ,99.79,0.21,13.45,13.45,2.37,2.3,Mols m-2 d-1  ,423.17,21.02,21.02,42.05,21.02,21.02,42.04,6.84,4.46,11.3,32.54,21.23,26.89,Oct 14 2021   ,10:32:25 AM
4907,bt                            ,99.85,0.15,13.19,13.19,2.35,2.31,Mols m-2 d-1  ,423.17,21.02,21.02,42.05,21.02,21.02,42.04,7.59,4.28,11.88,36.12,20.38,28.25,Oct 14 2021   ,10:33:48 AM
4908,bt                            ,99.85,0.15,12.82,12.82,2.38,2.24,Mols m-2 d-1  ,423.17,21.02,21.02,42.05,21.02,21.02,42.04,5.1,4.08,9.19,24.27,19.43,21.85,Oct 14 2021   ,10:35:27 AM
4909,bt                            ,99.86,0.14,12.86,12.86,2.48,2.28,Mols m-2 d-1  ,423.17,21.02,21.02,42.05,21.02,21.02,42.04,5.41,4.18,9.6,25.75,19.91,22.83,Oct 14 2021   ,10:36:46 AM
4911,bt                            ,99.9,0.1,9.21,9.21,2.46,2.6,Mols m-2 d-1  ,423.17,21.02,21.02,42.05,21.02,21.02,42.04,4.43,2.72,7.15,21.05,12.95,17,Oct 14 2021   ,10:39:19 AM
4912,bt                            ,99.91,0.09,10.77,10.77,2.48,2.4,Mols m-2 d-1  ,423.17,21.02,21.02,42.05,21.02,21.02,42.04,4.11,2.8,6.92,19.56,13.34,16.45,Oct 14 2021   ,10:41:16 AM
4913,bt                            ,99.9,0.1,13.14,13.14,2.43,2.54,Mols m-2 d-1  ,423.17,21.02,21.02,42.05,21.02,21.02,42.04,4.35,4.57,8.92,20.71,21.73,21.22,Oct 14 2021   ,10:42:52 AM
4914,bt                            ,99.85,0.15,10.6,10.6,2.55,2.59,Mols m-2 d-1  ,423.17,21.02,21.02,42.05,21.02,21.02,42.04,5.44,3.42,8.86,25.9,16.26,21.08,Oct 14 2021   ,10:44:13 AM
4915,bt                            ,99.79,0.21,10.74,10.74,2.54,2.34,Mols m-2 d-1  ,423.17,21.02,21.02,42.05,21.02,21.02,42.04,5.69,3.32,9.01,27.06,15.79,21.43,Oct 14 2021   ,10:45:27 AM
4916,bt                            ,99.87,0.13,11.61,11.61,2.22,2.44,Mols m-2 d-1  ,423.17,21.02,21.02,42.05,21.02,21.02,42.04,5.44,3.71,9.15,25.89,17.63,21.76,Oct 14 2021   ,10:46:50 AM
4918,bt                            ,99.9,0.1,9.99,9.99,2.69,2.59,Mols m-2 d-1  ,423.17,21.02,21.02,42.05,21.02,21.02,42.04,6.47,3.25,9.72,30.79,15.46,23.13,Oct 14 2021   ,10:48:22 AM
4919,bt                            ,99.85,0.15,10.12,10.12,2.58,2.49,Mols m-2 d-1  ,423.17,21.02,21.02,42.05,21.02,21.02,42.04,6.03,3.2,9.23,28.67,15.22,21.95,Oct 14 2021   ,10:49:36 AM
4921,bt                            ,99.93,0.07,10.41,10.41,2.39,2.4,Mols m-2 d-1  ,423.17,21.02,21.02,42.05,21.02,21.02,42.04,3.68,2.84,6.53,17.51,13.53,15.52,Oct 14 2021   ,10:52:06 AM
4922,bt                            ,99.86,0.14,11.8,11.8,2.39,2.19,Mols m-2 d-1  ,423.17,21.02,21.02,42.05,21.02,21.02,42.04,4.9,3.29,8.19,23.31,15.67,19.49,Oct 14 2021   ,10:54:18 AM
4923,bt                            ,99.88,0.12,10.85,10.85,2.51,2.35,Mols m-2 d-1  ,423.17,21.02,21.02,42.05,21.02,21.02,42.04,2.07,3.37,5.43,9.83,16.02,12.92,Oct 14 2021   ,10:56:00 AM
4924,bt                            ,99.84,0.16,11.44,11.44,2.26,2.29,Mols m-2 d-1  ,423.17,21.02,21.02,42.05,21.02,21.02,42.04,3.95,3.43,7.38,18.79,16.33,17.56,Oct 14 2021   ,10:57:22 AM
4925,bt                            ,99.82,0.18,14.8,14.8,1.95,2.1,Mols m-2 d-1  ,423.17,21.02,21.02,42.05,21.02,21.02,42.04,7.65,4.64,12.29,36.38,22.1,29.24,Oct 14 2021   ,10:58:41 AM
4926,bt                            ,99.86,0.14,13.24,13.24,2.18,2.24,Mols m-2 d-1  ,423.17,21.02,21.02,42.05,21.02,21.02,42.04,6.07,4.26,10.33,28.87,20.28,24.58,Oct 14 2021   ,10:59:55 AM
4927,bt                            ,99.86,0.14,13.77,13.77,2.12,2.2,Mols m-2 d-1  ,423.17,21.02,21.02,42.05,21.02,21.02,42.04,5.16,4.4,9.56,24.56,20.93,22.74,Oct 14 2021   ,11:01:49 AM
4929,bt                            ,99.85,0.15,11.46,11.46,2.34,2.47,Mols m-2 d-1  ,423.17,21.02,21.02,42.05,21.02,21.02,42.04,4.36,3.72,8.08,20.74,17.68,19.21,Oct 14 2021   ,11:04:40 AM
4931,bt                            ,99.87,0.13,12.82,12.82,2.21,2.83,Mols m-2 d-1  ,423.17,21.02,21.02,42.05,21.02,21.02,42.04,7.88,4.26,12.14,37.5,20.25,28.88,Oct 14 2021   ,11:05:50 AM
4932,bt                            ,99.85,0.15,12.25,12.25,2.76,3.51,Mols m-2 d-1  ,423.17,21.02,21.02,42.05,21.02,21.02,42.04,9.16,4.4,13.56,43.56,20.95,32.26,Oct 14 2021   ,11:07:41 AM
4933,bt                            ,99.86,0.14,9.34,9.34,2.47,2.73,Mols m-2 d-1  ,423.17,21.02,21.02,42.05,21.02,21.02,42.04,3.27,2.87,6.14,15.57,13.65,14.61,Oct 14 2021   ,11:11:40 AM
4934,bt                            ,99.86,0.14,12.4,12.4,2.12,2.57,Mols m-2 d-1  ,423.17,21.02,21.02,42.05,21.02,21.02,42.04,6.1,4.02,10.11,29,19.11,24.05,Oct 14 2021   ,11:13:26 AM
4935,bt                            ,99.85,0.15,6.86,6.86,2.97,3.11,Mols m-2 d-1  ,423.17,21.02,21.02,42.05,21.02,21.02,42.04,3.25,2.2,5.44,15.44,10.46,12.95,Oct 14 2021   ,11:15:12 AM
4936,bt                            ,99.85,0.15,9.3,9.3,2.64,2.63,Mols m-2 d-1  ,423.17,21.02,21.02,42.05,21.02,21.02,42.04,4.7,2.97,7.68,22.36,14.15,18.26,Oct 14 2021   ,11:16:38 AM
4938,bt                            ,99.88,0.12,3.37,3.37,3.83,3.93,Mols m-2 d-1  ,423.17,21.02,21.02,42.05,21.02,21.02,42.04,1.49,1.05,2.54,7.08,4.98,6.03,Oct 14 2021   ,11:19:27 AM
4937,                              ,99.86,0.14,3.54,3.54,4.11,3.79,Mols m-2 d-1  ,423.17,21.02,21.02,42.05,21.02,21.02,42.04,1.18,1.14,2.32,5.62,5.43,5.52,Oct 14 2021   ,11:22:07 AM
4940,bt                            ,99.86,0.14,8.79,8.79,2.96,2.78,Mols m-2 d-1  ,423.17,21.02,21.02,42.05,21.02,21.02,42.04,2.01,2.92,4.93,9.55,13.9,11.72,Oct 14 2021   ,11:24:15 AM
4941,bt                            ,99.9,0.1,6.97,6.97,2.88,2.82,Mols m-2 d-1  ,423.17,21.02,21.02,42.05,21.02,21.02,42.04,2.62,2.06,4.68,12.45,9.79,11.12,Oct 14 2021   ,11:25:35 AM
4942,bt                            ,99.9,0.1,9.71,9.71,2.43,2.76,Mols m-2 d-1  ,423.17,21.02,21.02,42.05,21.02,21.02,42.04,5.88,3.14,9.02,27.96,14.93,21.45,Oct 14 2021   ,11:26:47 AM
4943,bt                            ,99.85,0.15,10.21,10.21,2.5,2.67,Mols m-2 d-1  ,423.17,21.02,21.02,42.05,21.02,21.02,42.04,2.57,3.39,5.96,12.24,16.11,14.18,Oct 14 2021   ,11:28:23 AM
4944,bt                            ,99.91,0.09,10.18,10.18,2.63,2.95,Mols m-2 d-1  ,423.17,21.02,21.02,42.05,21.02,21.02,42.04,1.97,3.48,5.45,9.37,16.56,12.97,Oct 14 2021   ,11:30:07 AM
4945,bt                            ,99.84,0.16,8.16,8.16,2.91,3.02,Mols m-2 d-1  ,423.17,21.02,21.02,42.05,21.02,21.02,42.04,3.35,2.77,6.13,15.95,13.19,14.57,Oct 14 2021   ,11:31:37 AM
4946,bt                            ,99.85,0.15,9.47,9.47,3.16,3.34,Mols m-2 d-1  ,423.17,21.02,21.02,42.05,21.02,21.02,42.04,3.69,3.43,7.12,17.55,16.32,16.94,Oct 14 2021   ,11:33:09 AM
4947,bt                            ,99.85,0.15,9.83,9.83,3.5,3.45,Mols m-2 d-1  ,423.17,21.02,21.02,42.05,21.02,21.02,42.04,5.12,3.62,8.74,24.36,17.23,20.8,Oct 14 2021   ,11:34:45 AM
4949,bt                            ,99.88,0.12,8.64,8.64,2.65,2.68,Mols m-2 d-1  ,423.17,21.02,21.02,42.05,21.02,21.02,42.04,3.62,2.67,6.29,17.23,12.71,14.97,Oct 14 2021   ,11:36:37 AM
4950,bt                            ,99.86,0.14,10.78,10.78,2.6,2.37,Mols m-2 d-1  ,423.17,21.02,21.02,42.05,21.02,21.02,42.04,6.14,3.43,9.57,29.21,16.32,22.77,Oct 14 2021   ,11:37:48 AM
4951,bt                            ,99.82,0.18,11.6,11.6,2.27,2.32,Mols m-2 d-1  ,423.17,21.02,21.02,42.05,21.02,21.02,42.04,4.75,3.6,8.35,22.59,17.14,19.87,Oct 14 2021   ,11:39:06 AM
4952,bt                            ,99.89,0.11,14.11,14.11,2.06,2.27,Mols m-2 d-1  ,423.17,21.02,21.02,42.05,21.02,21.02,42.04,6.93,4.66,11.59,32.97,22.16,27.56,Oct 14 2021   ,11:40:21 AM
4953,bt                            ,99.82,0.18,13.99,13.99,1.97,2.17,Mols m-2 d-1  ,423.17,21.02,21.02,42.05,21.02,21.02,42.04,7.84,4.41,12.25,37.31,20.96,29.14,Oct 14 2021   ,11:41:50 AM
4954,bt                            ,99.91,0.09,13.63,13.63,2.06,2.13,Mols m-2 d-1  ,423.17,21.02,21.02,42.05,21.02,21.02,42.04,6.66,4.17,10.83,31.68,19.86,25.77,Oct 14 2021   ,11:43:29 AM
4956,bt                            ,99.91,0.09,11.9,11.9,2.72,2.96,Mols m-2 d-1  ,423.17,21.02,21.02,42.05,21.02,21.02,42.04,2.92,4.23,7.15,13.9,20.1,17,Oct 14 2021   ,11:47:49 AM
4957,bt                            ,99.89,0.11,10.16,10.16,2.46,2.67,Mols m-2 d-1  ,423.17,21.02,21.02,42.05,21.02,21.02,42.04,4,3.16,7.16,19.03,15.02,17.02,Oct 14 2021   ,11:49:42 AM
4958,bt                            ,99.86,0.14,9.49,9.49,2.94,2.76,Mols m-2 d-1  ,423.17,21.02,21.02,42.05,21.02,21.02,42.04,4.03,3.08,7.11,19.16,14.67,16.92,Oct 14 2021   ,11:51:12 AM
4959,bt                            ,99.84,0.16,10.82,10.82,2.51,2.7,Mols m-2 d-1  ,423.17,21.02,21.02,42.05,21.02,21.02,42.04,4.69,3.4,8.1,22.32,16.19,19.26,Oct 14 2021   ,11:52:59 AM
4960,bt                            ,99.92,0.08,9.33,9.33,2.91,2.94,Mols m-2 d-1  ,423.17,21.02,21.02,42.05,21.02,21.02,42.04,2.78,3.22,6,13.24,15.31,14.27,Oct 14 2021   ,11:53:53 AM
4961,bt                            ,99.85,0.15,11.56,11.56,2.53,2.48,Mols m-2 d-1  ,423.17,21.02,21.02,42.05,21.02,21.02,42.04,5.95,3.9,9.85,28.32,18.54,23.43,Oct 14 2021   ,11:55:34 AM
4962,bt                            ,99.89,0.11,10.39,10.39,2.46,2.43,Mols m-2 d-1  ,423.17,21.02,21.02,42.05,21.02,21.02,42.04,5.56,3.29,8.85,26.46,15.66,21.06,Oct 14 2021   ,11:57:04 AM
4963,bt                            ,99.85,0.15,10.92,10.92,2.73,2.42,Mols m-2 d-1  ,423.17,21.02,21.02,42.05,21.02,21.02,42.04,5.45,3.59,9.04,25.93,17.1,21.51,Oct 14 2021   ,11:58:33 AM
4965,bt                            ,99.9,0.1,14.67,14.67,2.1,1.93,Mols m-2 d-1  ,423.17,21.02,21.02,42.05,21.02,21.02,42.04,6.94,4.45,11.39,33.03,21.17,27.1,Oct 14 2021   ,12:00:28 PM
4966,bt                            ,99.89,0.11,14.53,14.53,1.95,2.06,Mols m-2 d-1  ,423.17,21.02,21.02,42.05,21.02,21.02,42.04,5.74,4.48,10.23,27.31,21.33,24.32,Oct 14 2021   ,12:02:26 PM
4967,bt                            ,99.84,0.16,12.09,12.09,2.19,2.34,Mols m-2 d-1  ,423.17,21.02,21.02,42.05,21.02,21.02,42.04,4.78,3.48,8.27,22.75,16.57,19.66,Oct 14 2021   ,12:03:39 PM
4968,bt                            ,99.85,0.15,11.52,11.52,2.38,2.25,Mols m-2 d-1  ,423.17,21.02,21.02,42.05,21.02,21.02,42.04,3.27,3.45,6.72,15.53,16.42,15.97,Oct 14 2021   ,12:05:26 PM
4969,bt                            ,99.85,0.15,12.73,12.73,2.34,2.17,Mols m-2 d-1  ,423.17,21.02,21.02,42.05,21.02,21.02,42.04,5.55,3.9,9.45,26.4,18.54,22.47,Oct 14 2021   ,12:06:27 PM
4970,bt                            ,99.89,0.11,13.26,13.26,2.33,2.06,Mols m-2 d-1  ,423.17,21.02,21.02,42.05,21.02,21.02,42.04,4.55,3.99,8.54,21.65,18.98,20.32,Oct 14 2021   ,12:07:56 PM
4971,bt                            ,99.83,0.17,15.94,15.94,1.99,1.83,Mols m-2 d-1  ,423.17,21.02,21.02,42.05,21.02,21.02,42.04,5.74,4.64,10.37,27.29,22.06,24.67,Oct 14 2021   ,12:09:21 PM
4972,bt                            ,99.84,0.16,11.52,11.52,2.35,2.31,Mols m-2 d-1  ,423.17,21.02,21.02,42.05,21.02,21.02,42.04,4.64,3.56,8.2,22.08,16.92,19.5,Oct 14 2021   ,12:10:28 PM